"filename", "language", "JSON", "JavaScript", "HTML", "TypeScript", "PostCSS", "SCSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\curriculum\program-files\program\program.component.ts", "TypeScript", 0, 0, 0, 139, 0, 0, 0, 0, 0, 16, 155
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.configurator.ts", "TypeScript", 0, 0, 0, 414, 0, 0, 0, 0, 0, 28, 442
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.floatingconfigurator.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.footer.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.layout.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 0, 0, 0, 16, 116
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.menu.ts", "TypeScript", 0, 0, 0, 197, 0, 0, 0, 0, 15, 11, 223
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.menuitem.ts", "TypeScript", 0, 0, 0, 143, 0, 0, 0, 0, 4, 24, 171
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.sidebar.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\component\app.topbar.ts", "TypeScript", 0, 0, 0, 196, 0, 0, 0, 0, 0, 12, 208
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\layout\service\layout.service.ts", "TypeScript", 0, 0, 0, 137, 0, 0, 0, 0, 0, 42, 179
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.html", "HTML", 0, 0, 111, 0, 0, 0, 0, 0, 0, 9, 120
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\attendance\attendance.component.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 0, 0, 0, 18, 132
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.html", "HTML", 0, 0, 186, 0, 0, 0, 0, 0, 0, 36, 222
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\examination-mode\examination-mode.component.ts", "TypeScript", 0, 0, 0, 76, 0, 0, 0, 0, 0, 13, 89
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.html", "HTML", 0, 0, 82, 0, 0, 0, 0, 0, 0, 15, 97
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\grade-student\grade-student.component.ts", "TypeScript", 0, 0, 0, 105, 0, 0, 0, 0, 0, 12, 117
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.html", "HTML", 0, 0, 92, 0, 0, 0, 0, 0, 0, 10, 102
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\homework-check\homework-check.component.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 0, 11, 81
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.html", "HTML", 0, 0, 75, 0, 0, 0, 0, 0, 0, 8, 83
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-activity-points\lesson-activity-points.component.ts", "TypeScript", 0, 0, 0, 113, 0, 0, 0, 0, 0, 27, 140
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-agenda\lesson-agenda.component.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 5, 63
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.html", "HTML", 0, 0, 160, 0, 0, 0, 0, 0, 0, 15, 175
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-flashcards\lesson-flashcards.component.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 15, 105
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-grades\lesson-grades.component.html", "HTML", 0, 0, 49, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-grades\lesson-grades.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Programowanie\inzFrontend\english-teaching-app-frontend\src\app\lesson\lesson-grades\lesson-grades.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
